shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
RUTA_ESC_VAL,9.30185,-70.64863,291
RUTA_ESC_VAL,9.30196,-70.64855,292
RUTA_ESC_VAL,9.30201,-70.64852,293
RUTA_ESC_VAL,9.30205,-70.64847,294
RUTA_ESC_VAL,9.30208,-70.64842,295
RUTA_ESC_VAL,9.30211,-70.64838,296
RUTA_ESC_VAL,9.30226,-70.64819,297
RUTA_ESC_VAL,9.30227,-70.64818,298
RUTA_ESC_VAL,9.3023,-70.64813,299
RUTA_ESC_VAL,9.30232,-70.64809,300
RUTA_ESC_VAL,9.30239,-70.64797,301
RUTA_ESC_VAL,9.30247,-70.64783,302
RUTA_ESC_VAL,9.30256,-70.64765,303
RUTA_ESC_VAL,9.30258,-70.64761,304
RUTA_ESC_VAL,9.30261,-70.64754,305
RUTA_ESC_VAL,9.30264,-70.64749,306
RUTA_ESC_VAL,9.30266,-70.64746,307
RUTA_ESC_VAL,9.30266,-70.64745,308
RUTA_ESC_VAL,9.3028,-70.64716,309
RUTA_ESC_VAL,9.30282,-70.64712,310
RUTA_ESC_VAL,9.30284,-70.64709,311
RUTA_ESC_VAL,9.30285,-70.64705,312
RUTA_ESC_VAL,9.3029,-70.64696,313
RUTA_ESC_VAL,9.30301,-70.6467,314
RUTA_ESC_VAL,9.30304,-70.64662,315
RUTA_ESC_VAL,9.30307,-70.64655,316
RUTA_ESC_VAL,9.30309,-70.6465,317
RUTA_ESC_VAL,9.30316,-70.64632,318
RUTA_ESC_VAL,9.30329,-70.6462,319
RUTA_ESC_VAL,9.30345,-70.64603,320
RUTA_ESC_VAL,9.30346,-70.64603,321
RUTA_ESC_VAL,9.30377,-70.64576,322
RUTA_ESC_VAL,9.30382,-70.64571,323
RUTA_ESC_VAL,9.30408,-70.64548,324
RUTA_ESC_VAL,9.30436,-70.64517,325
RUTA_ESC_VAL,9.30445,-70.64503,326
RUTA_ESC_VAL,9.30459,-70.64482,327
RUTA_ESC_VAL,9.30464,-70.64471,328
RUTA_ESC_VAL,9.30471,-70.64455,329
RUTA_ESC_VAL,9.30476,-70.64445,330
RUTA_ESC_VAL,9.30484,-70.64421,331
RUTA_ESC_VAL,9.30489,-70.64405,332
RUTA_ESC_VAL,9.30489,-70.64403,333
RUTA_ESC_VAL,9.30494,-70.64386,334
RUTA_ESC_VAL,9.30499,-70.64365,335
RUTA_ESC_VAL,9.30509,-70.64324,336
RUTA_ESC_VAL,9.30512,-70.64315,337
RUTA_ESC_VAL,9.3052,-70.64284,338
RUTA_ESC_VAL,9.30525,-70.64262,339
RUTA_ESC_VAL,9.30529,-70.64243,340
RUTA_ESC_VAL,9.3053,-70.64226,341
RUTA_ESC_VAL,9.3053,-70.64208,342
RUTA_ESC_VAL,9.30531,-70.64202,343
RUTA_ESC_VAL,9.3052,-70.64161,344
RUTA_ESC_VAL,9.3051,-70.64139,345
RUTA_ESC_VAL,9.30502,-70.64124,346
RUTA_ESC_VAL,9.30502,-70.64123,347
RUTA_ESC_VAL,9.30477,-70.64091,348
RUTA_ESC_VAL,9.30448,-70.64061,349
RUTA_ESC_VAL,9.30442,-70.64055,350
RUTA_ESC_VAL,9.30429,-70.64042,351
RUTA_ESC_VAL,9.30418,-70.64032,352
RUTA_ESC_VAL,9.30384,-70.64009,353
RUTA_ESC_VAL,9.3037,-70.64001,354
RUTA_ESC_VAL,9.30354,-70.63992,355
RUTA_ESC_VAL,9.30348,-70.63989,356
RUTA_ESC_VAL,9.30338,-70.63984,357
RUTA_ESC_VAL,9.30321,-70.63977,358
RUTA_ESC_VAL,9.30311,-70.63972,359
RUTA_ESC_VAL,9.30284,-70.63942,360
RUTA_ESC_VAL,9.30295,-70.63905,361
RUTA_ESC_VAL,9.30327,-70.63889,362
RUTA_ESC_VAL,9.30328,-70.63889,363
RUTA_ESC_VAL,9.30343,-70.63881,364
RUTA_ESC_VAL,9.3035,-70.63878,365
RUTA_ESC_VAL,9.30384,-70.63856,366
RUTA_ESC_VAL,9.30402,-70.6384,367
RUTA_ESC_VAL,9.30415,-70.63828,368
RUTA_ESC_VAL,9.3043,-70.63816,369
RUTA_ESC_VAL,9.30444,-70.63806,370
RUTA_ESC_VAL,9.30445,-70.63805,371
RUTA_ESC_VAL,9.30448,-70.63803,372
RUTA_ESC_VAL,9.3046,-70.63797,373
RUTA_ESC_VAL,9.30485,-70.63786,374
RUTA_ESC_VAL,9.30524,-70.63772,375
RUTA_ESC_VAL,9.30527,-70.63771,376
RUTA_ESC_VAL,9.30564,-70.63761,377
RUTA_ESC_VAL,9.30579,-70.63757,378
RUTA_ESC_VAL,9.30597,-70.63752,379
RUTA_ESC_VAL,9.30604,-70.6375,380
RUTA_ESC_VAL,9.30644,-70.63744,381
RUTA_ESC_VAL,9.30668,-70.63744,382
RUTA_ESC_VAL,9.30685,-70.63745,383
RUTA_ESC_VAL,9.30686,-70.63745,384
RUTA_ESC_VAL,9.30703,-70.6374,385
RUTA_ESC_VAL,9.30724,-70.63733,386
RUTA_ESC_VAL,9.30742,-70.63707,387
RUTA_ESC_VAL,9.30743,-70.63706,388
RUTA_ESC_VAL,9.30748,-70.63699,389
RUTA_ESC_VAL,9.30748,-70.6369,390
RUTA_ESC_VAL,9.30748,-70.63672,391
RUTA_ESC_VAL,9.30749,-70.63658,392
RUTA_ESC_VAL,9.30748,-70.63653,393
RUTA_ESC_VAL,9.30739,-70.63618,394
RUTA_ESC_VAL,9.30737,-70.63582,395
RUTA_ESC_VAL,9.30737,-70.63576,396
RUTA_ESC_VAL,9.30741,-70.63565,397
RUTA_ESC_VAL,9.30741,-70.63564,398
RUTA_ESC_VAL,9.30746,-70.63546,399
